B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
K06187	K07137	K06911	K06897	K06518	K07402	K06969	K06861	K07391		
K06199	K07139	K06919	K06911	K06861	K07404	K06973	K06871	K07402		
K06200	K07148	K06920	K06920	K06871	K07407	K06997	K06872	K07443		
K06201	K07164	K06925	K06921	K06872	K07444	K07001	K06881	K07444		
K06207	K07175	K06926	K06925	K06881	K07447	K07005	K06889	K07447		
K06213	K07192	K06941	K06934	K06885	K07448	K07011	K06894	K07451		
K06217	K07217	K06942	K06941	K06889	K07451	K07014	K06903	K07452		
K06287	K07220	K06949	K06942	K06894	K07456	K07017	K06907	K07456		
K06373	K07240	K06950	K06949	K06897	K07461	K07025	K06909	K07458		
K06381	K07259	K06959	K06950	K06909	K07462	K07027	K06911	K07459		
K06518	K07263	K06966	K06959	K06911	K07464	K07037	K06915	K07460		
K06861	K07271	K06969	K06966	K06920	K07467	K07043	K06920	K07461		
K06871	K07273	K06973	K06969	K06921	K07469	K07052	K06921	K07462		
K06872	K07277	K06975	K06970	K06925	K07473	K07056	K06925	K07464		
K06881	K07282	K06978	K06973	K06941	K07478	K07058	K06941	K07473		
K06885	K07289	K06989	K06975	K06942	K07483	K07078	K06942	K07478		
K06889	K07301	K06997	K06996	K06949	K07484	K07079	K06949	K07480		
K06891	K07304	K07001	K06997	K06950	K07491	K07082	K06950	K07484		
K06894	K07315	K07003	K07001	K06959	K07493	K07085	K06959	K07491		
K06897	K07318	K07011	K07005	K06966	K07496	K07091	K06966	K07507		
K06903	K07322	K07017	K07011	K06969	K07497	K07095	K06969	K07533		
K06904	K07386	K07025	K07025	K06970	K07502	K07098	K06973	K07560		
K06907	K07387	K07027	K07027	K06973	K07560	K07106	K06975	K07566		
K06909	K07391	K07037	K07031	K06975	K07566	K07107	K06988	K07568		
K06911	K07404	K07043	K07037	K06989	K07568	K07114	K06996	K07574		
K06920	K07405	K07045	K07039	K06996	K07574	K07126	K06997	K07576		
K06921	K07407	K07052	K07043	K06997	K07576	K07133	K07001	K07584		
K06925	K07443	K07053	K07045	K07001	K07584	K07137	K07005	K07636		
K06941	K07444	K07056	K07052	K07003	K07590	K07138	K07011	K07646		
K06942	K07447	K07058	K07053	K07005	K07636	K07139	K07012	K07658		
K06949	K07452	K07075	K07056	K07011	K07646	K07154	K07017	K07667		
K06950	K07456	K07078	K07058	K07025	K07652	K07164	K07025	K07699		
