sampleID	measurement1	measurement2	measurement3
06-34	491615473.60879076	454959208.2232572	489701743.4730629
06-37	324991874.4286232	332131811.0587404	331211120.92033863
06-39	423400990.2020348	426929476.35109293	422676079.4278345
06-40	738555447.7673209	762005744.1283296	779041094.5427705
07-00	93726100.19925685	104894243.49716851	92628493.51600349
07-01	296772645.125124	310787428.90615225	291616952.66550153
07-02	400289034.99402213	382019398.6068152	388655265.1102789
07-04	391036523.2408984	412876231.52592117	359115536.79780895
07-06	370640204.9676771	346253795.3501533	341586317.4337074
07-09	399187438.9681867	389974500.15503037	375652187.2446724
07-11	368042550.79016685	366786760.0654822	391991596.1484382
07-12	524609139.83595395	569550902.4083873	548092225.9204583
07-14	385914990.01881164	371544387.53294736	412445952.2167254
07-15	284168530.9496621	272426139.6771162	265239899.50965518
07-16	281871537.7702852	280483989.54742706	254126574.34015837
07-18	395853923.6410199	382721899.49566686	382789629.4335634
07-20	239859408.560364	253371119.85733035	241968000.06792837
07-24	367328187.54971355	347493723.3674653	376487337.2912783
07-25	381493958.97613674	359606341.0256705	401483711.30998725
07-26	354930634.0752843	347160846.77068377	359975612.2660002
07-28	613192421.8436903	597922935.6138521	666621986.3477712
07-29	781401608.2658688	856788580.7685257	772704386.410762
07-30	611748118.9770367	640788438.6147615	583819394.2713321
07-32	383438286.9975309	385116811.8985931	351206115.3666193
07-34	481648274.6533733	452136829.4861977	460239698.6112263
07-37	307396069.5514079	320373762.56243604	311117375.03013927
07-39	654920623.6602713	622167540.7049239	625818562.3999934
07-40	616442112.0279175	568829014.1530539	645314487.1603129
