sampleID	measurement1	measurement2	measurement3
5-18.0	172950482.66975546	172994545.50377142	174165066.79345778
5-19.0	148060317.2251293	146732046.4495724	148168727.5597878
5-2.0	57591392.240746915	57973356.10443585	57164857.15467728
5-20.0	181073664.23078126	180200340.13192335	179921530.4084963
5-21.0	81469249.65151095	81493647.52596894	82087910.5694292
5-22.3	174878612.14725855	174692783.47166485	173854557.5667579
5-24.0	129744180.37211299	129249780.7586176	130240125.849315
5-25.0	190059424.2176661	189215769.30966157	189804390.38001803
5-26.0	148692462.05870217	149388639.08324715	148566253.16532594
5-27.0	87891187.6778463	87660191.7977492	87832242.22992605
5-28.0	136067663.45056865	136252150.91767395	136898618.43860504
5-29.0	138333772.67974856	137779402.2400102	138200389.99138382
5-3.0	63288233.14917982	63083438.30243682	63277689.556474485
5-30.0	105958369.85390152	106208562.54485881	105147362.63814601
5-31.0	114195029.10254921	114726269.22900255	114313044.24754779
5-32.0	124204368.4486447	124095493.13349612	124534157.44463767
5-33.0	124769848.5505916	123882784.91541333	124919039.33999018
5-34.0	96510589.07270384	97474708.66369416	97185148.03080389
5-35.0	105700959.37430973	105248268.95615095	105730117.69996099
5-36.0	139398378.53593463	138323904.61650625	139606763.39894357
5-37.0	100886887.02112362	102195604.12247857	101718449.21031259
5-37.01	100886887.02112362	102195604.12247857	101718449.21031259
5-4.0	140892993.56423777	140608366.96735135	139801062.8682092
5-5.0	105147394.87621978	104378907.95533928	104907750.63702153
5-6.0	116394298.1388407	115996555.67896299	117224281.87371995
5-7.0	229561405.47270057	229983276.0872265	230635901.08765185
5-8.0	168240905.97720128	168400996.92153898	168811562.38933042
5-9.0	141122648.4253282	140521657.02504018	141710177.81316087
6-0.0	3417722.454767379	3448870.2716523376	3423311.5624029217
6-1.0	33921012.51566895	33832549.961743295	34197739.699468225
6-10.0	129930251.9186903	129160618.78300595	130175663.63912883
6-11.0	183447179.16797277	184328361.63793728	183667193.88773113
6-12.0	192413240.04076102	193691886.4833635	192566168.8083665
6-13.0	142403593.3555142	141821523.5822948	142540915.95700985
6-14.0	97132124.84944941	96451545.64832474	96570207.11458352
6-15.0	164451235.11827105	165298519.3472192	165084925.7966654
6-16.0	133562710.99022433	132195480.53005272	133475601.56789961
6-17.0	189947919.81423298	188782948.65122563	191678264.72881663
6-18.0	97344511.94776008	97815389.81432198	97307691.15706983
6-19.0	157399352.07823664	157355789.80226362	157730613.4042723
6-2.0	96234354.81400473	96107355.61173905	96353012.82545765
