	M2-D10-1A	M2-D10-1B	M2-D10-2A	M2-D10-2B	M2-D10-3A	M2-D10-3B	M2-D8-1A	M2-D8-1B	M2-D8-2A	M2-D8-2B	M2-D8-3A	M2-D8-3B	M2-D9-1A	M2-D9-1B	M2-D9-2A	M2-D9-2B	M2-D9-3A	M2-D9-3B
ASV_122	24	21	13	16	8	20	19	10	16	17	19	17	19	14	20	17	28	23
ASV_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_125	0	0	1	0	0	0	0	0	0	2	0	3	1	0	0	3	0	3
ASV_126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_127	49	29	27	29	42	56	54	54	38	60	57	45	71	73	116	66	113	56
ASV_128	31	26	33	28	12	27	56	42	52	42	44	45	35	18	47	43	58	39
ASV_129	25	38	27	28	26	42	39	25	23	46	24	30	37	38	66	39	62	37
ASV_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_135	24	22	19	16	12	29	37	27	43	29	37	31	28	11	44	36	37	28
ASV_136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_140	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_142	22	36	39	30	24	37	90	107	62	53	89	73	12	8	29	28	35	17
ASV_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_146	4	6	2	6	0	9	3	0	0	0	3	0	0	2	5	5	0	0
ASV_147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_150	13	8	16	10	10	20	33	32	34	42	32	40	16	21	62	19	27	22
ASV_151	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	1	0	4
ASV_152	7	6	6	4	3	3	10	5	10	15	9	5	6	3	6	12	10	6
ASV_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_156	0	0	5	0	0	5	2	2	2	1	1	0	4	0	5	3	6	0
ASV_157	10	16	16	15	10	15	11	15	13	15	15	17	19	10	14	16	40	10
ASV_158	9	9	12	11	12	9	8	13	13	12	9	0	0	12	17	12	25	4
ASV_159	27	42	57	42	33	31	0	0	0	0	0	0	0	0	0	0	0	0
ASV_160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_165	104	98	107	161	111	165	163	168	200	209	172	262	147	89	199	78	186	97
ASV_166	15	9	8	8	3	9	24	11	10	14	16	15	6	4	8	7	14	19
ASV_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_170	33	32	23	25	31	39	71	74	85	88	54	94	51	33	51	53	48	28
ASV_171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_173	18	17	8	16	15	18	14	10	6	10	6	13	6	13	8	10	8	7
ASV_174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_178	13	9	16	17	11	24	15	19	12	23	20	18	17	31	39	22	25	11
ASV_179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_183	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	1
ASV_184	9	13	15	15	15	16	12	13	10	15	17	11	17	16	27	19	23	12
ASV_185	0	4	7	10	0	5	6	5	10	9	10	11	5	0	7	2	14	5
ASV_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_189	0	0	0	0	0	0	0	3	0	15	0	0	0	0	0	0	5	0
ASV_190	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0
ASV_191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_194	3	0	3	1	0	5	1	0	0	0	0	0	0	0	0	0	3	0
ASV_195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_196	0	0	1	3	0	0	1	0	1	0	0	0	0	4	3	0	5	0
ASV_197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_204	2	1	1	3	0	6	0	0	0	0	0	0	2	0	0	0	0	0
ASV_205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_206	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0
ASV_208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_209	6	9	14	13	11	15	0	3	3	4	2	0	5	8	11	8	6	8
ASV_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_213	1	4	1	0	3	4	0	0	0	0	0	0	4	2	4	2	7	0
ASV_214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_216	14	11	13	17	0	7	22	26	30	15	26	25	15	0	28	26	34	18
ASV_217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_219	6	5	0	6	5	6	2	4	3	2	1	7	2	7	10	2	6	4
ASV_220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_222	0	5	0	3	0	3	1	0	0	3	1	3	1	5	6	1	7	5
ASV_223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_227	2	3	0	8	0	0	0	0	0	0	0	2	4	0	0	0	0	0
ASV_228	0	0	0	6	3	6	4	3	3	7	5	3	9	0	5	3	5	5
